Source IP,Source Port,Destination IP,Destination Port,Protocol
13.228.49.244,443,192.168.122.197,48624,TCP
192.168.122.197,39942,66.225.223.95,443,TCP
54.246.192.162,443,192.168.122.197,53896,TCP
192.168.122.197,44894,23.90.68.235,443,TCP
141.226.231.48,443,192.168.122.197,45806,TCP
103.43.89.4,443,192.168.122.197,35572,TCP
192.168.122.197,57730,182.161.73.146,443,TCP
182.161.73.146,443,192.168.122.197,57730,TCP
103.43.90.117,443,192.168.122.197,46608,TCP
23.90.68.235,443,192.168.122.197,44894,TCP
103.43.89.4,443,192.168.122.197,35576,TCP
124.146.215.50,443,192.168.122.197,54592,TCP
66.225.223.95,443,192.168.122.197,39942,TCP
192.168.122.197,44494,192.229.221.95,80,TCP
192.229.221.95,80,192.168.122.197,44494,TCP
141.226.231.48,443,192.168.122.197,45820,TCP
192.168.122.197,46322,216.58.203.10,443,TCP
192.168.122.197,46338,216.58.203.10,443,TCP
192.168.122.197,53484,142.250.199.166,443,TCP
216.58.203.10,443,192.168.122.197,46322,TCP
216.58.203.10,443,192.168.122.197,46338,TCP
142.250.199.166,443,192.168.122.197,53484,TCP
192.168.122.197,60668,142.251.42.106,443,TCP
192.168.122.197,57084,104.26.4.103,443,TCP
142.251.42.106,443,192.168.122.197,60668,TCP
104.26.4.103,443,192.168.122.197,57084,TCP
192.168.122.197,60024,142.250.183.110,443,TCP
142.250.183.110,443,192.168.122.197,60024,TCP
192.168.122.197,40462,192.124.249.13,443,TCP
192.124.249.13,443,192.168.122.197,40462,TCP
192.168.122.197,56484,192.124.249.36,80,TCP
192.124.249.36,80,192.168.122.197,56484,TCP
192.168.122.197,40476,192.124.249.13,443,TCP
192.168.122.197,40490,192.124.249.13,443,TCP
192.124.249.13,443,192.168.122.197,40476,TCP
192.124.249.13,443,192.168.122.197,40490,TCP
192.168.122.197,57386,180.149.52.211,443,TCP
180.149.52.211,443,192.168.122.197,57386,TCP
192.168.122.197,59296,172.217.171.234,443,TCP
192.168.122.197,59308,172.217.171.234,443,TCP
192.168.122.197,56644,142.250.182.195,443,TCP
192.168.122.197,56648,142.250.182.195,443,TCP
142.250.182.195,443,192.168.122.197,56644,TCP
142.250.182.195,443,192.168.122.197,56648,TCP
192.168.122.197,47112,142.250.199.174,443,TCP
142.250.199.174,443,192.168.122.197,47112,TCP
172.217.171.234,443,192.168.122.197,59296,TCP
172.217.171.234,443,192.168.122.197,59308,TCP
192.168.122.197,47124,23.37.240.101,443,TCP
23.37.240.101,443,192.168.122.197,47124,TCP
192.168.122.197,47172,74.125.200.157,443,TCP
192.168.122.197,54406,142.250.183.40,443,TCP
142.250.183.40,443,192.168.122.197,54406,TCP
74.125.200.157,443,192.168.122.197,47172,TCP
192.168.122.197,38630,142.250.183.3,443,TCP
192.168.122.197,33886,142.250.192.4,443,TCP
142.250.183.3,443,192.168.122.197,38630,TCP
142.250.192.4,443,192.168.122.197,33886,TCP
192.168.122.197,56920,216.239.34.181,443,TCP
216.239.34.181,443,192.168.122.197,56920,TCP
192.168.122.197,60294,182.161.73.142,443,TCP
182.161.73.142,443,192.168.122.197,60294,TCP
192.168.122.197,37440,142.250.183.14,443,TCP
192.168.122.197,37448,142.250.183.14,443,TCP
142.250.183.14,443,192.168.122.197,37440,TCP
142.250.183.14,443,192.168.122.197,37448,TCP
