Source IP,Source Port,Destination IP,Destination Port,Protocol
192.168.122.197,47048,3.212.219.210,443,TCP
192.168.122.197,50046,207.65.33.82,443,TCP
192.168.122.197,39454,213.19.162.80,443,TCP
192.168.122.197,45158,3.114.95.219,443,TCP
192.168.122.197,53932,31.13.79.35,443,TCP
192.168.122.197,50444,34.250.36.253,443,TCP
65.0.153.54,443,192.168.122.197,48636,TCP
192.168.122.197,40544,67.199.150.81,443,TCP
34.98.64.218,443,192.168.122.197,50554,TCP
34.98.64.218,443,192.168.122.197,50544,TCP
35.71.178.8,443,192.168.122.197,53558,TCP
31.13.79.35,443,192.168.122.197,53932,TCP
3.1.137.74,443,192.168.122.197,34926,TCP
3.1.137.74,443,192.168.122.197,34910,TCP
23.90.68.235,443,192.168.122.197,59272,TCP
192.168.122.197,46132,35.186.194.101,443,TCP
35.213.12.39,443,192.168.122.197,45486,TCP
192.168.122.197,33850,192.229.221.95,80,TCP
192.229.221.95,80,192.168.122.197,33850,TCP
35.186.194.101,443,192.168.122.197,46132,TCP
207.65.33.82,443,192.168.122.197,50046,TCP
67.199.150.81,443,192.168.122.197,40544,TCP
23.106.127.39,443,192.168.122.197,60444,TCP
192.168.122.197,33444,172.217.160.194,443,TCP
192.168.122.197,33454,172.217.160.194,443,TCP
23.212.233.24,443,192.168.122.197,54386,TCP
172.217.160.194,443,192.168.122.197,33444,TCP
172.217.160.194,443,192.168.122.197,33454,TCP
213.19.162.90,443,192.168.122.197,46918,TCP
213.19.162.80,443,192.168.122.197,39454,TCP
3.114.95.219,443,192.168.122.197,45158,TCP
34.250.36.253,443,192.168.122.197,50444,TCP
192.168.122.197,33854,192.229.221.95,80,TCP
192.168.122.197,37194,34.212.5.23,443,TCP
192.229.221.95,80,192.168.122.197,33854,TCP
192.168.122.197,44158,104.18.15.101,80,TCP
104.18.15.101,80,192.168.122.197,44158,TCP
44.194.103.132,443,192.168.122.197,60572,TCP
192.168.122.197,33860,192.229.221.95,80,TCP
192.229.221.95,80,192.168.122.197,33860,TCP
192.168.122.197,33870,192.229.221.95,80,TCP
192.229.221.95,80,192.168.122.197,33870,TCP
3.212.219.210,443,192.168.122.197,47048,TCP
192.168.122.197,35018,104.18.14.101,80,TCP
104.18.14.101,80,192.168.122.197,35018,TCP
192.168.122.197,51844,65.1.222.254,443,TCP
192.168.122.197,57288,52.94.220.185,443,TCP
192.168.122.197,56592,54.201.89.139,443,TCP
65.1.222.254,443,192.168.122.197,51844,TCP
192.168.122.197,38232,185.84.60.29,443,TCP
